outcome,match,(Intercept),MR,mental_age,MR:mental_age
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POR,0.43 (0.76),0.25 (1.01),-0.00 (0.09),-0.04 (0.12)
X16_zrakove_motoricka_presnost_cas_adm_sek,DO,108.25 (49.17),-21.65 (67.21),3.01 (5.89),0.47 (8.14)
X16_zrakove_motoricka_presnost_cas_adm_sek,VE,127.55 (64.97),-80.51 (92.40),-0.14 (7.51),7.97 (10.67)
X16_zrakove_motoricka_presnost_cas_adm_sek,KOD,147.97 (40.70),-49.29 (53.23),-0.96 (4.83),2.96 (6.39)
X16_zrakove_motoricka_presnost_cas_adm_sek,PO,168.20 (57.50),-116.32 (79.65),-5.23 (6.69),12.64 (9.27)
X16_zrakove_motoricka_presnost_cas_adm_sek,ŘO,174.69 (30.68),-69.64 (40.69),-5.13 (3.26),6.19 (4.36)
X16_zrakove_motoricka_presnost_cas_adm_sek,POČ,264.24 (75.76),-206.18 (102.22),-17.29 (9.68),24.66 (13.14)
X16_zrakove_motoricka_presnost_cas_adm_sek,KOS,223.01 (52.07),-167.14 (62.88),-13.00 (6.75),21.19 (8.27)
X16_zrakove_motoricka_presnost_cas_adm_sek,SLO,188.85 (60.17),-98.20 (85.24),-7.75 (7.46),10.75 (10.62)
X16_zrakove_motoricka_presnost_cas_adm_sek,POR,169.48 (42.56),-53.82 (56.94),-4.93 (5.16),4.74 (6.97)
X17_zrakove_vnimani_sum_spravne,DO,9.93 (2.23),2.84 (3.01),0.72 (0.27),-0.36 (0.36)
X17_zrakove_vnimani_sum_spravne,VE,13.09 (3.14),-5.26 (4.46),0.41 (0.36),0.51 (0.52)
X17_zrakove_vnimani_sum_spravne,KOD,11.36 (1.88),2.37 (2.46),0.57 (0.22),-0.32 (0.30)
X17_zrakove_vnimani_sum_spravne,PO,13.64 (2.45),-1.14 (3.39),0.40 (0.29),-0.02 (0.40)
X17_zrakove_vnimani_sum_spravne,ŘO,11.36 (1.50),-0.05 (1.99),0.50 (0.16),0.01 (0.21)
X17_zrakove_vnimani_sum_spravne,POČ,13.90 (3.42),-0.73 (4.59),0.41 (0.44),-0.08 (0.59)
X17_zrakove_vnimani_sum_spravne,KOS,13.72 (2.90),-1.37 (3.49),0.24 (0.38),0.22 (0.46)
X17_zrakove_vnimani_sum_spravne,SLO,12.82 (2.91),2.94 (4.10),0.38 (0.36),-0.39 (0.51)
X17_zrakove_vnimani_sum_spravne,POR,12.54 (2.18),4.81 (2.90),0.39 (0.26),-0.60 (0.35)
X17_zrakove_vnimani_cas_adm_sek,DO,243.39 (44.14),-87.13 (59.64),-8.34 (5.29),4.99 (7.17)
X17_zrakove_vnimani_cas_adm_sek,VE,137.83 (64.05),24.55 (90.89),2.54 (7.40),-6.39 (10.51)
X17_zrakove_vnimani_cas_adm_sek,KOD,265.55 (35.15),-117.74 (45.94),-11.44 (4.17),9.06 (5.52)
X17_zrakove_vnimani_cas_adm_sek,PO,247.04 (49.24),-164.68 (68.20),-8.65 (5.73),14.23 (7.94)
X17_zrakove_vnimani_cas_adm_sek,ŘO,292.36 (23.18),-173.50 (30.72),-14.14 (2.46),15.35 (3.29)
X17_zrakove_vnimani_cas_adm_sek,POČ,296.87 (55.38),-181.95 (74.30),-14.96 (7.08),16.84 (9.53)
X17_zrakove_vnimani_cas_adm_sek,KOS,311.27 (45.46),-166.81 (54.79),-18.59 (5.89),16.49 (7.18)
X17_zrakove_vnimani_cas_adm_sek,SLO,295.74 (51.13),-192.38 (72.08),-16.05 (6.34),19.33 (8.95)
X17_zrakove_vnimani_cas_adm_sek,POR,321.57 (35.29),-225.02 (47.06),-18.99 (4.28),23.18 (5.74)
X18_zrakove_prostorove_vnimani_sum_body,DO,7.41 (3.01),7.51 (4.07),1.57 (0.36),-1.24 (0.49)
X18_zrakove_prostorove_vnimani_sum_body,VE,14.73 (4.35),3.59 (6.17),0.74 (0.50),-0.83 (0.71)
X18_zrakove_prostorove_vnimani_sum_body,KOD,12.73 (2.20),4.28 (2.88),0.80 (0.26),-0.73 (0.35)
X18_zrakove_prostorove_vnimani_sum_body,PO,6.71 (3.79),10.37 (5.25),1.63 (0.44),-1.57 (0.61)
X18_zrakove_prostorove_vnimani_sum_body,ŘO,10.89 (2.02),3.37 (2.68),1.09 (0.21),-0.71 (0.29)
X18_zrakove_prostorove_vnimani_sum_body,POČ,8.17 (4.49),4.42 (6.03),1.49 (0.57),-0.84 (0.77)
X18_zrakove_prostorove_vnimani_sum_body,KOS,11.28 (3.15),-0.82 (3.80),0.99 (0.41),-0.00 (0.50)
X18_zrakove_prostorove_vnimani_sum_body,SLO,10.27 (3.69),0.03 (5.20),1.17 (0.46),-0.25 (0.65)
X18_zrakove_prostorove_vnimani_sum_body,POR,9.71 (2.74),6.14 (3.66),1.24 (0.33),-1.02 (0.45)
X19_orientace_v_prostoru_sum_body,DO,6.61 (6.18),15.92 (8.31),3.36 (0.74),-2.64 (1.00)
X19_orientace_v_prostoru_sum_body,VE,31.87 (10.08),0.49 (14.31),0.24 (1.17),-0.72 (1.65)
X19_orientace_v_prostoru_sum_body,KOD,10.08 (4.44),22.49 (5.81),2.87 (0.53),-3.42 (0.70)
X19_orientace_v_prostoru_sum_body,PO,-2.71 (7.38),27.90 (10.22),4.11 (0.86),-3.75 (1.19)
X19_orientace_v_prostoru_sum_body,ŘO,10.95 (4.26),16.33 (5.56),2.72 (0.46),-2.60 (0.60)
X19_orientace_v_prostoru_sum_body,POČ,8.69 (10.64),18.86 (14.21),2.85 (1.36),-2.75 (1.82)
X19_orientace_v_prostoru_sum_body,KOS,14.01 (6.81),9.95 (8.21),2.20 (0.88),-1.60 (1.08)
X19_orientace_v_prostoru_sum_body,SLO,12.42 (8.50),22.55 (11.99),2.54 (1.05),-3.38 (1.49)
X19_orientace_v_prostoru_sum_body,POR,15.34 (5.65),19.42 (7.54),2.02 (0.68),-2.84 (0.92)
X19_orientace_v_prostoru_cas_adm_sek,DO,370.66 (79.46),-279.93 (106.58),-19.10 (9.53),24.58 (12.82)
X19_orientace_v_prostoru_cas_adm_sek,VE,-48.65 (140.27),207.07 (199.05),32.84 (16.21),-35.61 (23.02)
X19_orientace_v_prostoru_cas_adm_sek,KOD,305.19 (66.62),-146.02 (87.00),-7.83 (7.94),4.68 (10.48)
X19_orientace_v_prostoru_cas_adm_sek,PO,273.63 (86.83),-114.03 (120.25),-9.79 (10.10),6.83 (14.00)
X19_orientace_v_prostoru_cas_adm_sek,ŘO,347.64 (63.80),-220.52 (83.28),-13.75 (6.93),14.62 (9.03)
X19_orientace_v_prostoru_cas_adm_sek,POČ,80.69 (129.93),84.02 (173.54),18.27 (16.55),-22.18 (22.22)
X19_orientace_v_prostoru_cas_adm_sek,KOS,88.09 (110.04),15.79 (132.62),23.25 (14.26),-18.96 (17.39)
X19_orientace_v_prostoru_cas_adm_sek,SLO,138.25 (121.48),29.82 (169.63),13.04 (15.18),-17.25 (21.15)
X19_orientace_v_prostoru_cas_adm_sek,POR,284.08 (78.65),-132.61 (104.87),-5.73 (9.53),3.59 (12.79)
X20_rozpoznavani_emoci_suma_body,DO,15.02 (3.53),8.25 (4.74),0.94 (0.42),-1.33 (0.57)
X20_rozpoznavani_emoci_suma_body,VE,20.55 (6.11),0.08 (8.68),0.21 (0.71),-0.27 (1.00)
X20_rozpoznavani_emoci_suma_body,KOD,13.76 (2.82),7.62 (3.69),1.12 (0.33),-1.28 (0.44)
X20_rozpoznavani_emoci_suma_body,PO,15.23 (4.14),-0.77 (5.74),0.87 (0.48),-0.19 (0.67)
X20_rozpoznavani_emoci_suma_body,ŘO,16.17 (2.47),3.22 (3.28),0.70 (0.26),-0.61 (0.35)
X20_rozpoznavani_emoci_suma_body,POČ,13.11 (6.24),2.74 (8.33),1.22 (0.79),-0.67 (1.07)
X20_rozpoznavani_emoci_suma_body,KOS,12.32 (4.41),5.72 (5.31),1.28 (0.57),-0.99 (0.70)
X20_rozpoznavani_emoci_suma_body,SLO,8.35 (4.36),10.87 (6.14),1.79 (0.54),-1.68 (0.76)
X20_rozpoznavani_emoci_suma_body,POR,13.34 (3.32),5.54 (4.43),1.14 (0.40),-0.98 (0.54)
X21_teorie_mysli_sum_body,DO,9.33 (2.29),-1.18 (3.07),0.37 (0.27),-0.24 (0.37)
X21_teorie_mysli_sum_body,VE,6.91 (3.73),-0.17 (5.29),0.64 (0.43),-0.36 (0.61)
X21_teorie_mysli_sum_body,KOD,5.73 (1.58),1.30 (2.06),0.74 (0.19),-0.46 (0.25)
X21_teorie_mysli_sum_body,PO,8.03 (2.48),-0.26 (3.43),0.49 (0.29),-0.32 (0.40)
X21_teorie_mysli_sum_body,ŘO,7.37 (1.44),0.07 (1.91),0.51 (0.15),-0.31 (0.20)
X21_teorie_mysli_sum_body,POČ,9.25 (3.73),-6.62 (4.98),0.36 (0.47),0.49 (0.64)
X21_teorie_mysli_sum_body,KOS,3.22 (2.65),3.34 (3.20),1.08 (0.34),-0.72 (0.42)
X21_teorie_mysli_sum_body,SLO,4.53 (2.44),-5.64 (3.44),0.96 (0.30),0.34 (0.43)
X21_teorie_mysli_sum_body,POR,7.16 (1.83),-2.97 (2.43),0.62 (0.22),0.02 (0.30)
X3_neverbalni_pamet_P1.4_HS,DO,18.54 (12.00),-2.70 (16.21),1.67 (1.44),-0.36 (1.95)
X3_neverbalni_pamet_P1.4_HS,VE,-6.67 (20.94),60.48 (29.72),5.43 (2.42),-8.63 (3.44)
X3_neverbalni_pamet_P1.4_HS,KOD,-3.06 (9.59),19.12 (12.53),4.99 (1.14),-3.66 (1.50)
X3_neverbalni_pamet_P1.4_HS,PO,-34.15 (15.98),57.58 (22.13),7.87 (1.86),-7.52 (2.58)
X3_neverbalni_pamet_P1.4_HS,ŘO,7.34 (7.89),-0.21 (10.45),3.65 (0.84),-1.43 (1.12)
X3_neverbalni_pamet_P1.4_HS,POČ,-13.69 (21.63),16.60 (29.01),5.66 (2.76),-2.60 (3.72)
X3_neverbalni_pamet_P1.4_HS,KOS,12.28 (13.01),-19.78 (15.68),2.84 (1.69),1.87 (2.06)
X3_neverbalni_pamet_P1.4_HS,SLO,13.26 (16.21),17.14 (22.85),2.66 (2.01),-3.17 (2.84)
X3_neverbalni_pamet_P1.4_HS,POR,18.25 (11.80),7.05 (15.74),2.10 (1.43),-1.96 (1.92)
X3_neverbalni_pamet_odd_sum,DO,-0.60 (4.61),8.86 (6.23),1.26 (0.55),-1.18 (0.75)
X3_neverbalni_pamet_odd_sum,VE,-3.70 (7.90),24.89 (11.21),1.84 (0.91),-3.28 (1.30)
X3_neverbalni_pamet_odd_sum,KOD,0.05 (3.61),5.81 (4.72),1.25 (0.43),-0.86 (0.57)
X3_neverbalni_pamet_odd_sum,PO,-11.64 (5.55),19.69 (7.69),2.53 (0.65),-2.43 (0.90)
X3_neverbalni_pamet_odd_sum,ŘO,-0.27 (3.15),3.69 (4.18),1.39 (0.33),-0.76 (0.45)
X3_neverbalni_pamet_odd_sum,POČ,-9.53 (8.01),13.91 (10.75),2.40 (1.02),-1.81 (1.38)
X3_neverbalni_pamet_odd_sum,KOS,5.96 (5.29),-6.02 (6.37),0.42 (0.69),0.82 (0.84)
X3_neverbalni_pamet_odd_sum,SLO,-0.42 (6.48),11.64 (9.13),1.34 (0.80),-1.64 (1.13)
X3_neverbalni_pamet_odd_sum,POR,4.45 (4.44),2.10 (5.92),0.69 (0.54),-0.39 (0.72)
