outcome,match,(Intercept),MR,mental_age,MR:mental_age
X2_pamet_na_pribehy_ODDALENE_sum_1_2,SLO,-4.02 (8.81),7.18 (12.42),2.32 (1.09),-1.77 (1.54)
X2_pamet_na_pribehy_ODDALENE_sum_1_2,POR,-8.73 (6.81),14.70 (9.02),3.26 (0.82),-3.05 (1.10)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,DO,4.81 (4.57),-0.98 (6.17),0.83 (0.55),-0.60 (0.74)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,VE,-8.44 (8.72),1.93 (12.37),2.46 (1.01),-1.03 (1.43)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,KOD,0.21 (3.15),2.94 (4.09),1.32 (0.37),-0.99 (0.49)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,PO,-10.06 (6.34),10.47 (8.78),2.49 (0.74),-1.86 (1.02)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,ŘO,-2.90 (2.88),9.18 (3.78),1.70 (0.30),-1.77 (0.40)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,POČ,-2.41 (8.71),6.64 (11.68),1.66 (1.11),-1.47 (1.50)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,KOS,-3.21 (6.04),6.50 (7.24),1.74 (0.78),-1.41 (0.95)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,SLO,10.80 (5.88),-7.74 (8.30),-0.15 (0.73),0.48 (1.03)
X2_pamet_na_pribehy_ODDALENE_pribeh1_odd_sum1,POR,4.04 (4.50),1.08 (5.95),0.90 (0.54),-0.83 (0.72)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,DO,-14.58 (3.04),17.57 (4.11),2.71 (0.36),-2.84 (0.49)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,VE,-15.22 (6.67),14.85 (9.46),2.50 (0.77),-2.24 (1.09)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,KOD,-18.51 (2.51),21.11 (3.26),3.08 (0.30),-3.17 (0.39)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,PO,-19.36 (3.19),18.18 (4.41),3.05 (0.37),-2.68 (0.51)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,ŘO,-9.47 (2.69),12.22 (3.53),1.83 (0.28),-1.93 (0.38)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POČ,-18.76 (5.34),16.55 (7.17),3.05 (0.68),-2.51 (0.92)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,KOS,-12.49 (3.52),12.99 (4.22),2.15 (0.45),-1.96 (0.55)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,SLO,-14.82 (4.07),14.92 (5.74),2.47 (0.50),-2.25 (0.71)
X2_pamet_na_pribehy_ODDALENE_pribeh2_odd_sum,POR,-12.77 (3.28),13.62 (4.34),2.35 (0.39),-2.22 (0.53)
X4_sluchova_pozornost_sum_body,DO,25.31 (2.52),6.60 (3.40),0.49 (0.30),-0.86 (0.41)
X4_sluchova_pozornost_sum_body,VE,28.34 (4.12),2.71 (5.85),0.23 (0.48),-0.47 (0.68)
X4_sluchova_pozornost_sum_body,KOD,25.13 (2.20),2.86 (2.87),0.47 (0.26),-0.35 (0.34)
X4_sluchova_pozornost_sum_body,PO,27.05 (2.68),0.02 (3.71),0.33 (0.31),-0.11 (0.43)
X4_sluchova_pozornost_sum_body,ŘO,25.33 (1.87),3.13 (2.48),0.40 (0.20),-0.34 (0.27)
X4_sluchova_pozornost_sum_body,POČ,26.16 (3.81),-4.85 (5.11),0.46 (0.49),0.53 (0.66)
X4_sluchova_pozornost_sum_body,KOS,25.06 (3.39),3.14 (4.08),0.55 (0.44),-0.45 (0.53)
X4_sluchova_pozornost_sum_body,SLO,27.10 (3.25),-4.87 (4.58),0.28 (0.40),0.57 (0.57)
