outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X15_motoricka_koordinace_prava_r2_celk_cas,DO,MR:mental_age,-1.02 (1.68),-0.605,.548,,
X15_motoricka_koordinace_prava_r2_celk_cas,VE,(Intercept),27.87 (16.09),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,VE,MR,-4.82 (22.77),-0.212,.833,,
X15_motoricka_koordinace_prava_r2_celk_cas,VE,mental_age,-0.25 (1.86),-0.133,.894,,
X15_motoricka_koordinace_prava_r2_celk_cas,VE,MR:mental_age,1.38 (2.63),0.526,.601,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOD,(Intercept),48.60 (10.20),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOD,MR,-16.78 (12.56),-1.336,.188,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOD,mental_age,-2.66 (1.26),-2.111,.040,*,
X15_motoricka_koordinace_prava_r2_celk_cas,KOD,MR:mental_age,2.78 (1.55),1.800,.078,,
X15_motoricka_koordinace_prava_r2_celk_cas,PO,(Intercept),39.47 (12.06),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,PO,MR,-10.93 (16.70),-0.655,.516,,
X15_motoricka_koordinace_prava_r2_celk_cas,PO,mental_age,-1.39 (1.40),-0.994,.325,,
X15_motoricka_koordinace_prava_r2_celk_cas,PO,MR:mental_age,1.90 (1.94),0.976,.334,,
X15_motoricka_koordinace_prava_r2_celk_cas,ŘO,(Intercept),41.38 (7.37),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,ŘO,MR,4.46 (9.77),0.457,.650,,
X15_motoricka_koordinace_prava_r2_celk_cas,ŘO,mental_age,-1.54 (0.78),-1.970,.054,,
X15_motoricka_koordinace_prava_r2_celk_cas,ŘO,MR:mental_age,0.03 (1.05),0.033,.973,,
X15_motoricka_koordinace_prava_r2_celk_cas,POČ,(Intercept),43.79 (16.79),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,POČ,MR,-17.52 (22.53),-0.778,.440,,
X15_motoricka_koordinace_prava_r2_celk_cas,POČ,mental_age,-2.11 (2.15),-0.984,.330,,
X15_motoricka_koordinace_prava_r2_celk_cas,POČ,MR:mental_age,2.96 (2.89),1.024,.310,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOS,(Intercept),51.34 (12.60),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOS,MR,6.55 (15.18),0.431,.668,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOS,mental_age,-3.03 (1.63),-1.857,.069,,
X15_motoricka_koordinace_prava_r2_celk_cas,KOS,MR:mental_age,-0.46 (1.99),-0.233,.817,,
X15_motoricka_koordinace_prava_r2_celk_cas,SLO,(Intercept),44.04 (13.33),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,SLO,MR,-0.87 (18.78),-0.046,.963,,
X15_motoricka_koordinace_prava_r2_celk_cas,SLO,mental_age,-2.18 (1.65),-1.317,.194,,
X15_motoricka_koordinace_prava_r2_celk_cas,SLO,MR:mental_age,0.87 (2.33),0.372,.712,,
X15_motoricka_koordinace_prava_r2_celk_cas,POR,(Intercept),47.28 (9.92),,,,
X15_motoricka_koordinace_prava_r2_celk_cas,POR,MR,-25.22 (13.23),-1.907,.062,,
X15_motoricka_koordinace_prava_r2_celk_cas,POR,mental_age,-2.53 (1.20),-2.109,.040,*,
X15_motoricka_koordinace_prava_r2_celk_cas,POR,MR:mental_age,3.90 (1.61),2.418,.019,*,
X15_motoricka_koordinace_prava_r3_celk_cas,DO,(Intercept),63.95 (13.98),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,DO,MR,13.44 (18.88),0.712,.480,,
X15_motoricka_koordinace_prava_r3_celk_cas,DO,mental_age,-2.53 (1.67),-1.510,.137,,
X15_motoricka_koordinace_prava_r3_celk_cas,DO,MR:mental_age,-0.99 (2.27),-0.437,.664,,
X15_motoricka_koordinace_prava_r3_celk_cas,VE,(Intercept),41.99 (23.67),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,VE,MR,1.04 (33.50),0.031,.975,,
X15_motoricka_koordinace_prava_r3_celk_cas,VE,mental_age,-0.12 (2.73),-0.043,.966,,
X15_motoricka_koordinace_prava_r3_celk_cas,VE,MR:mental_age,0.83 (3.87),0.215,.831,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOD,(Intercept),73.23 (14.13),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOD,MR,-25.44 (17.42),-1.461,.150,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOD,mental_age,-3.82 (1.74),-2.191,.033,*,
X15_motoricka_koordinace_prava_r3_celk_cas,KOD,MR:mental_age,4.00 (2.14),1.865,.068,,
X15_motoricka_koordinace_prava_r3_celk_cas,PO,(Intercept),62.93 (15.68),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,PO,MR,-16.77 (21.72),-0.772,.443,,
X15_motoricka_koordinace_prava_r3_celk_cas,PO,mental_age,-2.40 (1.82),-1.313,.195,,
X15_motoricka_koordinace_prava_r3_celk_cas,PO,MR:mental_age,2.75 (2.53),1.087,.282,,
X15_motoricka_koordinace_prava_r3_celk_cas,ŘO,(Intercept),63.22 (9.80),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,ŘO,MR,5.27 (12.99),0.406,.686,,
X15_motoricka_koordinace_prava_r3_celk_cas,ŘO,mental_age,-2.36 (1.04),-2.265,.028,*,
X15_motoricka_koordinace_prava_r3_celk_cas,ŘO,MR:mental_age,0.12 (1.39),0.089,.929,,
X15_motoricka_koordinace_prava_r3_celk_cas,POČ,(Intercept),67.06 (21.96),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,POČ,MR,-20.53 (29.46),-0.697,.489,,
X15_motoricka_koordinace_prava_r3_celk_cas,POČ,mental_age,-3.23 (2.81),-1.151,.255,,
X15_motoricka_koordinace_prava_r3_celk_cas,POČ,MR:mental_age,3.57 (3.78),0.945,.349,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOS,(Intercept),75.98 (17.06),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOS,MR,4.31 (20.56),0.210,.835,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOS,mental_age,-4.32 (2.21),-1.954,.056,,
X15_motoricka_koordinace_prava_r3_celk_cas,KOS,MR:mental_age,-0.02 (2.70),-0.006,.995,,
X15_motoricka_koordinace_prava_r3_celk_cas,SLO,(Intercept),69.77 (17.84),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,SLO,MR,1.62 (25.14),0.064,.949,,
X15_motoricka_koordinace_prava_r3_celk_cas,SLO,mental_age,-3.51 (2.21),-1.587,.119,,
X15_motoricka_koordinace_prava_r3_celk_cas,SLO,MR:mental_age,0.70 (3.12),0.226,.822,,
X15_motoricka_koordinace_prava_r3_celk_cas,POR,(Intercept),70.85 (13.88),,,,
X15_motoricka_koordinace_prava_r3_celk_cas,POR,MR,-29.49 (18.50),-1.594,.117,,
X15_motoricka_koordinace_prava_r3_celk_cas,POR,mental_age,-3.60 (1.68),-2.144,.037,*,
X15_motoricka_koordinace_prava_r3_celk_cas,POR,MR:mental_age,4.60 (2.26),2.037,.047,*,
X15_motoricka_koordinace_prava_r4_celk_cas,DO,(Intercept),86.68 (17.82),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,DO,MR,13.95 (24.07),0.580,.565,,
X15_motoricka_koordinace_prava_r4_celk_cas,DO,mental_age,-3.64 (2.13),-1.704,.094,,
X15_motoricka_koordinace_prava_r4_celk_cas,DO,MR:mental_age,-0.52 (2.89),-0.181,.857,,
X15_motoricka_koordinace_prava_r4_celk_cas,VE,(Intercept),59.17 (29.90),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,VE,MR,8.53 (42.32),0.202,.841,,
X15_motoricka_koordinace_prava_r4_celk_cas,VE,mental_age,-0.42 (3.45),-0.123,.903,,
X15_motoricka_koordinace_prava_r4_celk_cas,VE,MR:mental_age,0.37 (4.89),0.075,.941,,
X15_motoricka_koordinace_prava_r4_celk_cas,KOD,(Intercept),98.47 (16.81),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,KOD,MR,-36.23 (21.97),-1.650,.105,,
X15_motoricka_koordinace_prava_r4_celk_cas,KOD,mental_age,-4.80 (1.99),-2.409,.020,*,
X15_motoricka_koordinace_prava_r4_celk_cas,KOD,MR:mental_age,5.44 (2.64),2.063,.044,*,
X15_motoricka_koordinace_prava_r4_celk_cas,PO,(Intercept),98.07 (20.93),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,PO,MR,-34.94 (28.99),-1.206,.233,,
X15_motoricka_koordinace_prava_r4_celk_cas,PO,mental_age,-4.69 (2.43),-1.927,.060,,
X15_motoricka_koordinace_prava_r4_celk_cas,PO,MR:mental_age,5.18 (3.38),1.533,.131,,
X15_motoricka_koordinace_prava_r4_celk_cas,ŘO,(Intercept),90.55 (14.06),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,ŘO,MR,-4.43 (18.64),-0.238,.813,,
X15_motoricka_koordinace_prava_r4_celk_cas,ŘO,mental_age,-3.53 (1.49),-2.368,.022,*,
X15_motoricka_koordinace_prava_r4_celk_cas,ŘO,MR:mental_age,1.35 (2.00),0.679,.500,,
X15_motoricka_koordinace_prava_r4_celk_cas,POČ,(Intercept),105.94 (29.35),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,POČ,MR,-38.36 (39.37),-0.974,.334,,
X15_motoricka_koordinace_prava_r4_celk_cas,POČ,mental_age,-6.19 (3.75),-1.651,.105,,
X15_motoricka_koordinace_prava_r4_celk_cas,POČ,MR:mental_age,6.15 (5.05),1.217,.229,,
X15_motoricka_koordinace_prava_r4_celk_cas,KOS,(Intercept),116.90 (23.64),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,KOS,MR,-10.35 (28.49),-0.363,.718,,
X15_motoricka_koordinace_prava_r4_celk_cas,KOS,mental_age,-7.63 (3.06),-2.491,.016,*,
X15_motoricka_koordinace_prava_r4_celk_cas,KOS,MR:mental_age,2.16 (3.74),0.577,.566,,
X15_motoricka_koordinace_prava_r4_celk_cas,SLO,(Intercept),105.53 (23.98),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,SLO,MR,-7.01 (33.80),-0.208,.836,,
X15_motoricka_koordinace_prava_r4_celk_cas,SLO,mental_age,-6.16 (2.97),-2.070,.044,*,
X15_motoricka_koordinace_prava_r4_celk_cas,SLO,MR:mental_age,2.21 (4.20),0.526,.601,,
X15_motoricka_koordinace_prava_r4_celk_cas,POR,(Intercept),102.87 (19.62),,,,
X15_motoricka_koordinace_prava_r4_celk_cas,POR,MR,-41.35 (26.15),-1.581,.120,,
X15_motoricka_koordinace_prava_r4_celk_cas,POR,mental_age,-5.46 (2.38),-2.296,.026,*,
X15_motoricka_koordinace_prava_r4_celk_cas,POR,MR:mental_age,6.18 (3.19),1.938,.058,,
X15_motoricka_koordinace_leva_r1_celk_cas,DO,(Intercept),19.54 (7.21),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,DO,MR,15.30 (9.74),1.571,.122,,
X15_motoricka_koordinace_leva_r1_celk_cas,DO,mental_age,-0.54 (0.86),-0.625,.535,,
X15_motoricka_koordinace_leva_r1_celk_cas,DO,MR:mental_age,-1.47 (1.17),-1.254,.215,,
X15_motoricka_koordinace_leva_r1_celk_cas,VE,(Intercept),12.09 (11.47),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,VE,MR,25.52 (16.28),1.568,.123,,
X15_motoricka_koordinace_leva_r1_celk_cas,VE,mental_age,0.31 (1.33),0.233,.817,,
X15_motoricka_koordinace_leva_r1_celk_cas,VE,MR:mental_age,-2.52 (1.88),-1.338,.187,,
X15_motoricka_koordinace_leva_r1_celk_cas,KOD,(Intercept),31.08 (7.03),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,KOD,MR,-12.68 (8.66),-1.463,.150,,
X15_motoricka_koordinace_leva_r1_celk_cas,KOD,mental_age,-1.96 (0.87),-2.261,.028,*,
X15_motoricka_koordinace_leva_r1_celk_cas,KOD,MR:mental_age,2.00 (1.07),1.876,.066,,
X15_motoricka_koordinace_leva_r1_celk_cas,PO,(Intercept),29.04 (8.53),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,PO,MR,-5.13 (11.82),-0.434,.666,,
X15_motoricka_koordinace_leva_r1_celk_cas,PO,mental_age,-1.68 (0.99),-1.690,.097,,
X15_motoricka_koordinace_leva_r1_celk_cas,PO,MR:mental_age,1.06 (1.38),0.769,.446,,
X15_motoricka_koordinace_leva_r1_celk_cas,ŘO,(Intercept),24.12 (5.35),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,ŘO,MR,0.88 (7.09),0.124,.901,,
X15_motoricka_koordinace_leva_r1_celk_cas,ŘO,mental_age,-0.92 (0.57),-1.613,.113,,
X15_motoricka_koordinace_leva_r1_celk_cas,ŘO,MR:mental_age,0.19 (0.76),0.248,.805,,
X15_motoricka_koordinace_leva_r1_celk_cas,POČ,(Intercept),30.76 (11.32),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,POČ,MR,-12.95 (15.18),-0.853,.398,,
X15_motoricka_koordinace_leva_r1_celk_cas,POČ,mental_age,-2.08 (1.45),-1.441,.156,,
X15_motoricka_koordinace_leva_r1_celk_cas,POČ,MR:mental_age,2.20 (1.95),1.129,.264,,
X15_motoricka_koordinace_leva_r1_celk_cas,KOS,(Intercept),33.72 (8.58),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,KOS,MR,1.43 (10.34),0.139,.890,,
X15_motoricka_koordinace_leva_r1_celk_cas,KOS,mental_age,-2.35 (1.11),-2.110,.040,*,
X15_motoricka_koordinace_leva_r1_celk_cas,KOS,MR:mental_age,0.05 (1.36),0.040,.968,,
X15_motoricka_koordinace_leva_r1_celk_cas,SLO,(Intercept),36.37 (9.87),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,SLO,MR,-0.73 (13.92),-0.052,.958,,
X15_motoricka_koordinace_leva_r1_celk_cas,SLO,mental_age,-2.53 (1.22),-2.069,.044,*,
X15_motoricka_koordinace_leva_r1_celk_cas,SLO,MR:mental_age,0.39 (1.73),0.228,.820,,
X15_motoricka_koordinace_leva_r1_celk_cas,POR,(Intercept),24.75 (7.58),,,,
X15_motoricka_koordinace_leva_r1_celk_cas,POR,MR,-8.29 (10.10),-0.821,.415,,
X15_motoricka_koordinace_leva_r1_celk_cas,POR,mental_age,-1.14 (0.92),-1.240,.220,,
X15_motoricka_koordinace_leva_r1_celk_cas,POR,MR:mental_age,1.42 (1.23),1.156,.253,,
X15_motoricka_koordinace_leva_r2_celk_cas,DO,(Intercept),43.40 (11.31),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,DO,MR,21.10 (15.29),1.380,.173,,
X15_motoricka_koordinace_leva_r2_celk_cas,DO,mental_age,-1.65 (1.36),-1.217,.229,,
X15_motoricka_koordinace_leva_r2_celk_cas,DO,MR:mental_age,-1.72 (1.84),-0.933,.355,,
X15_motoricka_koordinace_leva_r2_celk_cas,VE,(Intercept),23.35 (19.83),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,VE,MR,55.12 (28.14),1.959,.056,,
X15_motoricka_koordinace_leva_r2_celk_cas,VE,mental_age,0.84 (2.29),0.365,.716,,
X15_motoricka_koordinace_leva_r2_celk_cas,VE,MR:mental_age,-5.62 (3.25),-1.728,.090,,
X15_motoricka_koordinace_leva_r2_celk_cas,KOD,(Intercept),64.95 (13.01),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,KOD,MR,-26.72 (16.04),-1.666,.102,,
X15_motoricka_koordinace_leva_r2_celk_cas,KOD,mental_age,-4.09 (1.61),-2.546,.014,*,
X15_motoricka_koordinace_leva_r2_celk_cas,KOD,MR:mental_age,3.99 (1.97),2.024,.048,*,
X15_motoricka_koordinace_leva_r2_celk_cas,PO,(Intercept),56.38 (14.39),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,PO,MR,-12.03 (19.93),-0.604,.549,,
X15_motoricka_koordinace_leva_r2_celk_cas,PO,mental_age,-2.97 (1.67),-1.772,.082,,
X15_motoricka_koordinace_leva_r2_celk_cas,PO,MR:mental_age,2.15 (2.32),0.926,.359,,
X15_motoricka_koordinace_leva_r2_celk_cas,ŘO,(Intercept),54.39 (9.67),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,ŘO,MR,-4.22 (12.82),-0.329,.744,,
X15_motoricka_koordinace_leva_r2_celk_cas,ŘO,mental_age,-2.39 (1.03),-2.332,.024,*,
X15_motoricka_koordinace_leva_r2_celk_cas,ŘO,MR:mental_age,0.93 (1.37),0.677,.501,,
X15_motoricka_koordinace_leva_r2_celk_cas,POČ,(Intercept),50.02 (20.19),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,POČ,MR,-13.22 (27.08),-0.488,.628,,
X15_motoricka_koordinace_leva_r2_celk_cas,POČ,mental_age,-2.34 (2.58),-0.908,.368,,
X15_motoricka_koordinace_leva_r2_celk_cas,POČ,MR:mental_age,2.43 (3.47),0.700,.487,,
X15_motoricka_koordinace_leva_r2_celk_cas,KOS,(Intercept),68.35 (15.77),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,KOS,MR,1.66 (19.01),0.087,.931,,
X15_motoricka_koordinace_leva_r2_celk_cas,KOS,mental_age,-4.52 (2.04),-2.212,.031,*,
X15_motoricka_koordinace_leva_r2_celk_cas,KOS,MR:mental_age,-0.01 (2.49),-0.003,.998,,
X15_motoricka_koordinace_leva_r2_celk_cas,SLO,(Intercept),59.43 (15.51),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,SLO,MR,-7.80 (21.87),-0.357,.723,,
X15_motoricka_koordinace_leva_r2_celk_cas,SLO,mental_age,-3.62 (1.92),-1.879,.066,,
X15_motoricka_koordinace_leva_r2_celk_cas,SLO,MR:mental_age,1.83 (2.72),0.673,.504,,
X15_motoricka_koordinace_leva_r2_celk_cas,POR,(Intercept),48.66 (11.45),,,,
X15_motoricka_koordinace_leva_r2_celk_cas,POR,MR,-31.36 (15.26),-2.055,.045,*,
X15_motoricka_koordinace_leva_r2_celk_cas,POR,mental_age,-2.23 (1.39),-1.606,.114,,
X15_motoricka_koordinace_leva_r2_celk_cas,POR,MR:mental_age,4.80 (1.86),2.577,.013,*,
X15_motoricka_koordinace_leva_r3_celk_cas,DO,(Intercept),69.05 (19.64),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,DO,MR,28.98 (26.54),1.092,.280,,
X15_motoricka_koordinace_leva_r3_celk_cas,DO,mental_age,-2.80 (2.35),-1.190,.239,,
X15_motoricka_koordinace_leva_r3_celk_cas,DO,MR:mental_age,-1.86 (3.19),-0.582,.563,,
X15_motoricka_koordinace_leva_r3_celk_cas,VE,(Intercept),31.63 (32.48),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,VE,MR,65.78 (46.09),1.427,.159,,
X15_motoricka_koordinace_leva_r3_celk_cas,VE,mental_age,1.55 (3.75),0.413,.681,,
X15_motoricka_koordinace_leva_r3_celk_cas,VE,MR:mental_age,-5.85 (5.33),-1.097,.278,,
X15_motoricka_koordinace_leva_r3_celk_cas,KOD,(Intercept),101.39 (20.78),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,KOD,MR,-34.19 (25.60),-1.335,.188,,
X15_motoricka_koordinace_leva_r3_celk_cas,KOD,mental_age,-6.46 (2.56),-2.518,.015,*,
X15_motoricka_koordinace_leva_r3_celk_cas,KOD,MR:mental_age,5.61 (3.15),1.780,.081,,
X15_motoricka_koordinace_leva_r3_celk_cas,PO,(Intercept),79.89 (23.31),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,PO,MR,-6.14 (32.28),-0.190,.850,,
X15_motoricka_koordinace_leva_r3_celk_cas,PO,mental_age,-3.79 (2.71),-1.399,.168,,
X15_motoricka_koordinace_leva_r3_celk_cas,PO,MR:mental_age,2.23 (3.76),0.593,.556,,
X15_motoricka_koordinace_leva_r3_celk_cas,ŘO,(Intercept),84.18 (14.93),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,ŘO,MR,7.58 (19.80),0.383,.703,,
X15_motoricka_koordinace_leva_r3_celk_cas,ŘO,mental_age,-3.63 (1.58),-2.291,.026,*,
X15_motoricka_koordinace_leva_r3_celk_cas,ŘO,MR:mental_age,0.04 (2.12),0.018,.986,,
X15_motoricka_koordinace_leva_r3_celk_cas,POČ,(Intercept),74.53 (32.58),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,POČ,MR,9.60 (43.70),0.220,.827,,
X15_motoricka_koordinace_leva_r3_celk_cas,POČ,mental_age,-3.37 (4.16),-0.809,.422,,
X15_motoricka_koordinace_leva_r3_celk_cas,POČ,MR:mental_age,0.30 (5.61),0.054,.958,,
X15_motoricka_koordinace_leva_r3_celk_cas,KOS,(Intercept),114.43 (24.10),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,KOS,MR,7.96 (29.05),0.274,.785,,
X15_motoricka_koordinace_leva_r3_celk_cas,KOS,mental_age,-8.26 (3.12),-2.645,.011,*,
X15_motoricka_koordinace_leva_r3_celk_cas,KOS,MR:mental_age,-0.34 (3.81),-0.090,.929,,
X15_motoricka_koordinace_leva_r3_celk_cas,SLO,(Intercept),88.63 (24.91),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,SLO,MR,5.53 (35.11),0.158,.875,,
X15_motoricka_koordinace_leva_r3_celk_cas,SLO,mental_age,-5.43 (3.09),-1.757,.085,,
X15_motoricka_koordinace_leva_r3_celk_cas,SLO,MR:mental_age,1.19 (4.36),0.274,.785,,
X15_motoricka_koordinace_leva_r3_celk_cas,POR,(Intercept),80.78 (19.61),,,,
X15_motoricka_koordinace_leva_r3_celk_cas,POR,MR,-42.84 (26.14),-1.638,.107,,
X15_motoricka_koordinace_leva_r3_celk_cas,POR,mental_age,-4.06 (2.38),-1.710,.093,,
X15_motoricka_koordinace_leva_r3_celk_cas,POR,MR:mental_age,6.95 (3.19),2.179,.034,*,
X15_motoricka_koordinace_leva_r4_celk_cas,DO,(Intercept),102.14 (27.46),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,DO,MR,29.14 (37.10),0.785,.436,,
X15_motoricka_koordinace_leva_r4_celk_cas,DO,mental_age,-4.67 (3.29),-1.420,.162,,
X15_motoricka_koordinace_leva_r4_celk_cas,DO,MR:mental_age,-1.43 (4.46),-0.321,.750,,
X15_motoricka_koordinace_leva_r4_celk_cas,VE,(Intercept),60.07 (45.53),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,VE,MR,93.36 (64.61),1.445,.154,,
X15_motoricka_koordinace_leva_r4_celk_cas,VE,mental_age,0.29 (5.26),0.055,.956,,
X15_motoricka_koordinace_leva_r4_celk_cas,VE,MR:mental_age,-8.60 (7.47),-1.151,.255,,
X15_motoricka_koordinace_leva_r4_celk_cas,KOD,(Intercept),122.49 (23.99),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,KOD,MR,-27.42 (31.36),-0.874,.386,,
X15_motoricka_koordinace_leva_r4_celk_cas,KOD,mental_age,-6.66 (2.85),-2.341,.023,*,
X15_motoricka_koordinace_leva_r4_celk_cas,KOD,MR:mental_age,5.01 (3.77),1.329,.190,,
X15_motoricka_koordinace_leva_r4_celk_cas,PO,(Intercept),117.47 (32.46),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,PO,MR,-5.43 (44.95),-0.121,.904,,
X15_motoricka_koordinace_leva_r4_celk_cas,PO,mental_age,-6.15 (3.78),-1.628,.110,,
X15_motoricka_koordinace_leva_r4_celk_cas,PO,MR:mental_age,2.61 (5.23),0.498,.621,,
X15_motoricka_koordinace_leva_r4_celk_cas,ŘO,(Intercept),112.49 (20.09),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,ŘO,MR,14.07 (26.63),0.528,.599,,
X15_motoricka_koordinace_leva_r4_celk_cas,ŘO,mental_age,-4.87 (2.13),-2.284,.027,*,
X15_motoricka_koordinace_leva_r4_celk_cas,ŘO,MR:mental_age,-0.24 (2.85),-0.084,.933,,
X15_motoricka_koordinace_leva_r4_celk_cas,POČ,(Intercept),107.86 (45.89),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,POČ,MR,4.76 (61.57),0.077,.939,,
X15_motoricka_koordinace_leva_r4_celk_cas,POČ,mental_age,-5.26 (5.87),-0.897,.374,,
X15_motoricka_koordinace_leva_r4_celk_cas,POČ,MR:mental_age,1.31 (7.90),0.165,.869,,
X15_motoricka_koordinace_leva_r4_celk_cas,KOS,(Intercept),148.04 (32.30),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,KOS,MR,21.46 (38.93),0.551,.584,,
X15_motoricka_koordinace_leva_r4_celk_cas,KOS,mental_age,-10.40 (4.19),-2.485,.016,*,
X15_motoricka_koordinace_leva_r4_celk_cas,KOS,MR:mental_age,-1.74 (5.10),-0.341,.735,,
X15_motoricka_koordinace_leva_r4_celk_cas,SLO,(Intercept),125.68 (34.98),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,SLO,MR,2.66 (49.31),0.054,.957,,
X15_motoricka_koordinace_leva_r4_celk_cas,SLO,mental_age,-7.84 (4.34),-1.807,.077,,
X15_motoricka_koordinace_leva_r4_celk_cas,SLO,MR:mental_age,2.02 (6.12),0.330,.742,,
X15_motoricka_koordinace_leva_r4_celk_cas,POR,(Intercept),113.21 (26.68),,,,
X15_motoricka_koordinace_leva_r4_celk_cas,POR,MR,-70.12 (35.58),-1.971,.054,,
X15_motoricka_koordinace_leva_r4_celk_cas,POR,mental_age,-5.74 (3.23),-1.775,.082,,
X15_motoricka_koordinace_leva_r4_celk_cas,POR,MR:mental_age,10.73 (4.34),2.472,.017,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,DO,(Intercept),122.29 (25.99),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,DO,MR,-81.27 (35.12),-2.314,.025,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,DO,mental_age,-10.56 (3.11),-3.391,.001,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,DO,MR:mental_age,8.28 (4.22),1.960,.055,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,VE,(Intercept),101.49 (33.58),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,VE,MR,-34.52 (47.66),-0.724,.472,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,VE,mental_age,-9.20 (3.88),-2.370,.022,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,VE,MR:mental_age,4.03 (5.51),0.731,.468,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOD,(Intercept),92.03 (20.86),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOD,MR,-54.86 (27.27),-2.012,.049,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOD,mental_age,-7.30 (2.47),-2.949,.005,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOD,MR:mental_age,5.43 (3.28),1.657,.104,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,PO,(Intercept),135.82 (32.29),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,PO,MR,-94.86 (44.72),-2.121,.039,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,PO,mental_age,-11.94 (3.76),-3.180,.002,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,PO,MR:mental_age,9.77 (5.21),1.876,.066,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,ŘO,(Intercept),94.01 (18.02),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,ŘO,MR,-51.26 (23.88),-2.147,.037,*,
